(180, 116)
(178, 116)
(169, 115)
(172, 115)
(176, 116)
(168, 115)
(164, 115)
(158, 116)
(153, 116)
(145, 117)
(139, 118)
(132, 120)
(123, 124)
(118, 126)
(109, 131)
(105, 134)
(101, 139)
(98, 142)
(93, 148)
(88, 157)
(85, 161)
(83, 166)
(82, 172)
(80, 178)
(80, 183)
(80, 188)
(80, 194)
(80, 201)
(82, 206)
(83, 213)
(87, 220)
(90, 225)
(93, 230)
(96, 234)
(100, 238)
(106, 243)
(112, 246)
(117, 249)
(122, 250)
(126, 251)
(129, 253)
(133, 253)
(137, 254)
(140, 255)
(137, 257)
(133, 259)
(130, 259)
(126, 261)
(121, 261)
(118, 261)
(113, 260)
(109, 260)
(107, 259)
(110, 268)
(112, 271)
(115, 274)
(118, 276)
(121, 279)
(125, 280)
(129, 282)
(133, 282)
(137, 283)
(133, 285)
(131, 287)
(128, 289)
(126, 291)
(122, 293)
(118, 296)
(114, 299)
(110, 302)
(103, 305)
(98, 309)
(90, 312)
(83, 315)
(75, 318)
(70, 319)
(63, 319)
(59, 314)
(59, 309)
(58, 304)
(57, 301)
(55, 296)
(54, 292)
(54, 284)
(51, 276)
(51, 268)
(50, 260)
(50, 253)
(51, 242)
(51, 234)
(52, 219)
(55, 209)
(58, 200)
(58, 195)
(63, 182)
(65, 176)
(66, 173)
(70, 167)
(73, 159)
(77, 152)
(80, 146)
(85, 140)
(91, 132)
(98, 124)
(102, 118)
(106, 114)
(110, 110)
(117, 102)
(125, 96)
(130, 92)
(137, 88)
(144, 82)
(154, 78)
(162, 72)
(169, 70)
(179, 65)
(188, 63)
(193, 60)
(200, 60)
(208, 57)
(218, 56)
(225, 55)
(233, 55)
(242, 54)
(250, 54)
(257, 53)
(264, 54)
(270, 55)
(279, 56)
(289, 57)
(295, 58)
(301, 61)
(307, 61)
(316, 64)
(324, 68)
(333, 72)
(339, 75)
(344, 78)
(351, 81)
(358, 86)
(365, 91)
(371, 96)
(379, 102)
(385, 107)
(390, 112)
(393, 115)
(398, 120)
(401, 125)
(405, 130)
(408, 134)
(411, 138)
(413, 141)
(416, 144)
(418, 148)
(422, 154)
(425, 160)
(428, 164)
(429, 169)
(432, 176)
(434, 181)
(438, 190)
(441, 197)
(442, 206)
(444, 214)
(446, 221)
(446, 231)
(447, 239)
(447, 247)
(447, 254)
(447, 263)
(446, 272)
(444, 281)
(443, 289)
(442, 294)
(440, 305)
(438, 314)
(435, 321)
(432, 330)
(427, 336)
(425, 342)
(420, 350)
(417, 356)
(414, 362)
(405, 373)
(399, 380)
(392, 388)
(385, 394)
(379, 400)
(374, 405)
(366, 411)
(362, 415)
(356, 417)
(351, 421)
(348, 424)
(341, 426)
(335, 430)
(329, 433)
(324, 436)
(318, 437)
(315, 438)
(310, 440)
(311, 429)
(311, 420)
(310, 411)
(310, 399)
(311, 385)
(311, 370)
(313, 358)
(313, 347)
(314, 337)
(316, 327)
(318, 313)
(320, 300)
(327, 301)
(333, 302)
(341, 303)
(352, 302)
(358, 298)
(367, 296)
(370, 293)
(373, 291)
(369, 289)
(376, 285)
(369, 282)
(367, 281)
(365, 278)
(364, 277)
(364, 272)
(372, 266)
(389, 256)
(398, 248)
(403, 243)
(410, 233)
(415, 220)
(418, 208)
(419, 197)
(417, 186)
(416, 176)
(411, 166)
(403, 155)
(398, 149)
(393, 146)
(386, 142)
(377, 139)
(368, 137)
(361, 136)
(366, 140)
(371, 145)
(377, 150)
(381, 155)
(383, 159)
(385, 163)
(387, 168)
(389, 172)
(389, 178)
(389, 184)
(389, 188)
(388, 193)
(385, 197)
(383, 202)
(378, 208)
(371, 213)
(362, 219)
(352, 222)
(345, 223)
(338, 223)
(334, 223)
(322, 215)
(305, 208)
(285, 203)
(275, 204)
(263, 206)
(255, 207)
(245, 203)
(236, 200)
(222, 196)
(206, 196)
(182, 197)
(164, 202)
(147, 200)
(132, 195)
(122, 186)
(120, 177)
(117, 170)
(119, 159)
(121, 154)
(126, 146)
(132, 139)
(136, 134)
(146, 128)
(153, 124)
(160, 122)
(167, 120)
(176, 117)
