(62, 319)
(68, 319)
(73, 318)
(86, 315)
(104, 305)
(137, 284)
(138, 282)
(134, 282)
(124, 279)
(119, 276)
(115, 274)
(112, 270)
(110, 267)
(108, 263)
(107, 260)
(117, 261)
(122, 261)
(139, 256)
(142, 254)
(138, 254)
(129, 252)
(124, 250)
(119, 249)
(115, 247)
(102, 239)
(96, 233)
(90, 226)
(84, 214)
(81, 204)
(80, 198)
(79, 190)
(80, 181)
(83, 167)
(86, 161)
(92, 150)
(97, 144)
(107, 135)
(115, 128)
(122, 126)
(129, 122)
(145, 117)
(157, 116)
(172, 116)
(179, 117)
(169, 119)
(162, 121)
(151, 125)
(139, 130)
(130, 138)
(122, 149)
(118, 157)
(117, 164)
(117, 170)
(118, 177)
(123, 185)
(129, 193)
(138, 197)
(149, 201)
(158, 203)
(171, 199)
(185, 197)
(201, 196)
(219, 197)
(235, 201)
(250, 205)
(256, 209)
(274, 205)
(293, 206)
(301, 207)
(309, 210)
(318, 214)
(325, 218)
(334, 224)
(340, 224)
(351, 223)
(366, 218)
(374, 212)
(381, 206)
(387, 198)
(390, 181)
(388, 170)
(385, 161)
(381, 156)
(377, 148)
(370, 142)
(363, 138)
(372, 139)
(381, 140)
(391, 146)
(400, 152)
(405, 159)
(411, 168)
(416, 182)
(417, 194)
(417, 203)
(417, 210)
(416, 215)
(413, 225)
(409, 233)
(404, 240)
(398, 247)
(388, 256)
(378, 262)
(365, 269)
(362, 272)
(365, 280)
(370, 284)
(374, 284)
(367, 288)
(372, 292)
(359, 299)
(343, 302)
(332, 301)
(326, 300)
(321, 298)
(319, 308)
(317, 317)
(314, 333)
(313, 352)
(312, 365)
(311, 381)
(311, 397)
(310, 414)
(310, 433)
(310, 440)
(269, 449)
(247, 448)
(230, 444)
(210, 440)
(197, 436)
(182, 431)
(159, 421)
(141, 411)
(116, 392)
(100, 373)
(91, 364)
(76, 348)
(68, 338)
(63, 329)
(63, 319)
